"Date","Name","Subject","FromLabel","FromEmail","PreviewText","TemplateId","HtmlChars"
"2026-02-02","DAILY | 020226 | White Woman","Would it be rude if I bought one?","Michelle @ Afroyla","michelle@afroyla.com","","V8rFiH","41670"
"2026-02-01","DAILY | 010226 | Happy BHM","HAPPY BLACK HISTORY MONTH!!!","Michelle @ Afroyla","michelle@afroyla.com","","VdEiV9","37259"
"2026-01-31","DAILY | 310126 | Mental Health","How do you build confidence when you're not getting validation from others?","Michelle @ Afroyla","michelle@afroyla.com","","WGmXQn","40057"
"2026-01-30","TEASER  | 300126 | New Bag Survey","We had FIVE completely new styles…","Michelle @ Afroyla","michelle@afroyla.com","","TGQMYr","36611"
"2026-01-29","DAILY | 290126 | USPS Delay","Heavy Winter Storms affecting shipping","Michelle @ Afroyla","michelle@afroyla.com","Read this for important details","SG6zTM","35889"
"2026-01-28","DAILY | 280126 | Black Superheroes","We make bags… and somehow become superheroes","Michelle @ Afroyla","michelle@afroyla.com","A customer actually called us that","WLDdth","37783"
"2026-01-27","DAILY | 270126 | Braiding Hair","It HURTS, Mommy!","Michelle @ Afroyla","michelle@afroyla.com","Well, just me braiding my girl’s hair","Y6Uqft","37512"
"2026-01-26","DAILY | 260126 | Wunmi Mosaku","What I learned from Wunmi Mosaku (an Oscar nominee)","Michelle @ Afroyla","michelle@afroyla.com","Her story is OUR story","SF3kdn","39277"
"2026-01-25","SALE | 250126 | Legacy Collection - Last call","I have 5 minutes to write this","Michelle @ Afroyla","michelle@afroyla.com","","THZKHE","33577"
"2026-01-25","SALE | 250126 | Legacy Collection - Stalked Her Order","I stalked her order (and you'll see why)","Michelle @ Afroyla","michelle@afroyla.com","","XFYymA","36741"
"2026-01-24","SALE | 240126 | Weekend Specials Update","First 50 is gone... (here's where we are now)","Michelle @ Afroyla","michelle@afroyla.com","","Y8DBHf","35447"
"2026-01-24","SALE | 240126 | Weekend Specials","[LIVE NOW] Legacy Collection - First 50 get best deal","Michelle @ Afroyla","michelle@afroyla.com","","TEL36x","36175"
"2026-01-23","TEASER | 230126 | Survey Crossbody","Alice sent me a screenshot at 6:47 AM","Michelle @ Afroyla","michelle@afroyla.com","400 women just voted","URQFAM","38295"
"2026-01-22","TEASER | 220126 | Survey Tote Designs","3 new tote designs (need your eyes on these)","Michelle @ Afroyla","michelle@afroyla.com","Keisha and I need your help","WhDpjQ","37311"
"2026-01-21","TEASER | 210126 | Survey","We need your taste on this (just 3 minutes)","Michelle @ Afroyla","michelle@afroyla.com","3 new designs… and I need your vote","TiygnR","36655"
"2026-01-20","TEASER | 200126 | THANK YOU","2:43 AM... He is squinting at me like I've lost my mind.","Michelle @ Afroyla","michelle@afroyla.com","I couldn't sleep... here's why","SkaL7g","38119"
"2026-01-19","SALE | 190126 | Last Call","15 orders left (your direct link inside)","Michelle @ Afroyla","michelle@afroyla.com","I wanted you to be one of the final 15.","XpGHw2","33463"
"2026-01-19","TEASER | 190126 | Final Hours","[FINAL HOURS] 🚨 Under 30 left","Michelle @ Afroyla","michelle@afroyla.com","You'll see the live countdown when you get your link.","XEsvyk","33567"
"2026-01-19","TEASER | 190126 | Today is MLK Day","HAPPY MLK DAY!!! just 60 left...","Michelle @ Afroyla","michelle@afroyla.com","Today is FINAL Day","V5ijzn","36941"
"2026-01-18","TEASER | 180126 | 8 bags in one order","She saved over $400","Michelle @ Afroyla","michelle@afroyla.com","I know the deal is HOT...","R78kac","35850"
"2026-01-18","TEASER | 180126 | Sunday Morning with Nia","""Mom. Are you okay?""","Michelle @ Afroyla","michelle@afroyla.com","Sunday update: The Project 200 sale will close earlier than expected.","SamaDy","40376"
"2026-01-18","TEASER | 170126 | First Tier is GONE","You missed it...","Michelle @ Afroyla","michelle@afroyla.com","The 45% OFF just sold out","TVCQ5y","37623"
"2026-01-17","TEASER | 170126 | The 200 Project LIVE","My kitchen counter is vibrating","Michelle @ Afroyla","michelle@afroyla.com","What happened in the last 60 minutes","UDw97x","39564"
"2026-01-16","STORY | 160126 | The 200 Project Last Teaser - Buy Herself","this is NOT a normal sale","Michelle @ Afroyla","michelle@afroyla.com","1,200+ people are ready... for tomorrow","Y82dT6","42407"
"2026-01-15","STORY | 150126 | The 200 Project Teaser","You're making a mistake","Michelle @ Afroyla","michelle@afroyla.com","If you're not registered, you have ZERO chance","VefkhW","38986"
"2026-01-14","STORY | 130126 | No Social Media","I don't want 500 orders... here's why","Michelle @ Afroyla","michelle@afroyla.com","","VsLsGY","39391"
"2026-01-13","STORY | 130126 | Stress Accountant","I'm donating $1,000 next week","Michelle @ Afroyla","michelle@afroyla.com","","R68bWN","40050"
"2026-01-12","STORY | 120126 | Dream of Nia","My 5th grader just schooled me","Michelle @ Afroyla","michelle@afroyla.com","","YtCPav","37508"
"2026-01-11","STORY | 110126 | NURSING SCHOOL","You goat this","Michelle @ Afroyla","michelle@afroyla.com","","UY58HP","34089"
"2026-01-10","SALE | 100126 | Clearance SALE SMALL LE 4","[LAST CALL] Final 25 bags at 60% off","Michelle @ Afroyla","michelle@afroyla.com","","Tcxx2g","33721"
"2026-01-10","SALE | 100126 | Clearance SALE SMALL LE 3","I SET AN ALARM FOR THIS SALE. WORTH IT!!!""","Michelle @ Afroyla","michelle@afroyla.com","","U6fQUW","34364"
"2026-01-09","STORY | 090126 | Clearance SALE SMALL LE 2","Update from the dashboard","Michelle @ Afroyla","michelle@afroyla.com","60% OFF inside...","TryANc","34485"
"2026-01-09","STORY | 090126 | Clearance SAle Small LE","Our Clearance Sale Is LIVE","Michelle @ Afroyla","michelle@afroyla.com","60% OFF inside...","R6JWdV","34262"
"2026-01-08","STORY | 080126 | Clearance Teaser","Tomorrow at 10 AM (be ready)... here's why","Michelle @ Afroyla","michelle@afroyla.com","We need to clear the space","SCUDA9","35347"
"2026-01-07","STORY | 070126 | I don't want to ruin it","She was scared to use my bag (and I loved that)","Michelle @ Afroyla","michelle@afroyla.com","","XmP5zk","39208"
"2026-01-06","Story | 060126 | Be Your Own Kind Of Beautiful","Be Your Own Kind of Beautiful","Michelle @ Afroyla","michelle@afroyla.com","A photo from one of our customers. Her New Year's Eve party.","WNPAX8","38349"
"2026-01-05","STORY | 050126 | Sibling","Men don't post about handbags...","Michelle @ Afroyla","michelle@afroyla.com","","Wng9QK","41702"
"2026-01-04","STORY | 040126 | Trust","""I cannot believe or trust anything these days""","Michelle @ Afroyla","michelle@afroyla.com","","V2rRwC","40834"
"2026-01-03","Story | 030126 | New Year Eve party","I’m a little jealous of this photo…","Michelle @ Afroyla","michelle@afroyla.com","A photo from one of our customers. Her New Year's Eve party.","RXubmu","38648"
"2026-01-02","Story | 020126 | My most love customer photos - Gift","My dream as a Black woman brand founder…","Michelle @ Afroyla","michelle@afroyla.com","The photo that hit me right in the heart","WunPiC","36447"
"2026-01-02","Story | 020126 | My most love customer photos","My dream as a Black woman brand founder…","Michelle @ Afroyla","michelle@afroyla.com","The photo that hit me right in the heart","X6sBRY","35818"
"2026-01-01","STORY | 010126 | Imani","HAPPY NEW YEAR!!! Habari Gani?","Michelle @ Afroyla","michelle@afroyla.com","If you needed one word for 2026…","WgZ6MH","36062"
"2025-12-31","STORY | 311225 | Kuumba","One word for my 2025: Kuumba","Michelle @ Afroyla","michelle@afroyla.com","If you carried Afroyla this year… thank you","VxYbBs","39680"
"2025-12-30","STORY | 301225 | NIA","If you need purpose today, read this","Michelle @ Afroyla","michelle@afroyla.com","Nia: The word I’m carrying today","YqkXfs","35824"
"2025-12-28","STORY | 281225 | HAPPY KWANZAA - Day 3","My Christmas lunch almost got ruined 😭","Michelle @ Afroyla","michelle@afroyla.com","","Vd6zY6","35039"
"2025-12-27","STORY | 271225 | HAPPY KWANZAA - Day 2","💚💛❤️🖤.... Kujichagulia","Michelle @ Afroyla","michelle@afroyla.com","","XWK5rz","43880"
"2025-12-26","STORY | 261225 | HAPPY KWANZAA","Happy Kwanzaa {{ first_name|default:'love' }}","Michelle @ Afroyla","michelle@afroyla.com","","Ryn92a","33825"
"2025-12-24","STORY | 241225 | Merry Christmas","Merry Christmas… and a wish for your future, {{ first_name|default:'love' }}","Michelle @ Afroyla","michelle@afroyla.com","","RYUKWb","33213"
"2025-12-23","STORY | 231225 | First Self-made Millionare Woman","the FIRST self-made millionaire woman in America…","Michelle @ Afroyla","michelle@afroyla.com","","SACTfT","43759"
"2025-12-22","STORY | 221225 | Rise & Slay Honeycomb","She matched her BAG to the whole event…","Michelle @ Afroyla","michelle@afroyla.com","This is what RISE AND SLAY looks like","SddFL3","38620"
"2025-12-21","STORY | 211225 | Beautiful Language - FRENCH","French is dangerous.... I almost broke our “no custom” rule","Michelle @ Afroyla","michelle@afroyla.com","","WJL7Hf","36991"
"2025-12-19","SALE | 191225 | AMAZON LAST-MINUTES GIFTs - Email #2","[LAST CALL] Final Hours of our Last-Minute Gift Sale","Michelle @ Afroyla","michelle@afroyla.com","Up to 48% OFF + arrives before Christmas","Smp9tG","37495"
"2025-12-19","SALE | 191225 | AMAZON LAST-MINUTES GIFTs - Email #1","What a perfectly timed surprise looks like…","Michelle @ Afroyla","michelle@afroyla.com","Up to 48% OFF + arrives before Christmas","X8mvsR","35844"
"2025-12-18","SALE | 181225 | AMAZON LAST-MINUTES GIFTs - Email #2","Amazon says all Afroyla bags arrive BEFORE Christmas","Michelle @ Afroyla","michelle@afroyla.com","","VDLf4f","39713"
"2025-12-18","SALE | 181225 | AMAZON LAST-MINUTES GIFTs - Email #1","OMG... it’s LIVE on Amazon","Michelle @ Afroyla","michelle@afroyla.com","Up to 48% OFF + arrives before Christmas (today only vibes)","V7pGyr","38383"
"2025-12-17","STORY | 171225 | AMZ TEASER","If you need an Afroyla bag BEFORE Dec 24… read this","Michelle @ Afroyla","michelle@afroyla.com","","TfH7Nk","36473"
"2025-12-17","SALE | 161225 | XMAS FREE SHIPPING - Email #3","LAST CALL: Free Express Shipping ends at midnight 🎁","Michelle @ Afroyla","michelle@afroyla.com","","Ve4UXf","32581"
"2025-12-16","SALE | 161225 | XMAS FREE SHIPPING - Email #2","🚨 Final hours for 30% OFF + FREE SHIPPING (under 10 left)","Michelle @ Afroyla","michelle@afroyla.com","If you want the extra 30%… now’s the time","UxPCeW","32205"
"2025-12-16","SALE | 161225 | XMAS FREE SHIPPING - Email #1","FINAL DAY: Free Express Shipping ends tonight 🎁","Michelle @ Afroyla","michelle@afroyla.com","Almost gone: extra 30% OFF + guaranteed Christmas delivery","RLUaHw","34011"
"2025-12-15","SALE | 151225 | XMAS FREE SHIPPING - Email #2","What to do if your Christmas gift’s arriving late","Michelle @ Afroyla","michelle@afroyla.com","LOL. Just wrap the tracking number 🎁","R5b9NM","33130"
"2025-12-15","SALE | 151225 | XMAS FREE SHIPPING - Email #1","Out of 1000 choices, she chose Afroyla...","Michelle @ Afroyla","michelle@afroyla.com","Why I was giggling all morning","SeAfRz","35400"
"2025-12-14","SALE | 141225 | XMAS FREE SHIPPING - Email #2","Less than 50 spots left: 35% OFF + FREE XMAS Shipping","Michelle @ Afroyla","michelle@afroyla.com","YES, it’ll arrive before Christmas","Ss4PxS","33545"
"2025-12-14","SALE | 141225 | XMAS FREE SHIPPING - Email #1","It’s LIVE: Free Express Shipping + 35% OFF (but not for long)","Michelle @ Afroyla","michelle@afroyla.com","YES, it’ll arrive before Christmas","WGC9NY","35931"
"2025-12-13","Clone STORY | 131225 | XMAS SHIPPING FREE - Buy Gift - Teaser","Free Shipping for Xmas gifts? YES.","Michelle @ Afroyla","michelle@afroyla.com","Buying an Afroyla bag as a gift? READ THIS.","Ric3fz","35610"
"2025-12-13","STORY | 131225 | XMAS SHIPPING FREE - Teaser","Free Shipping for Xmas gifts? YES.","Michelle @ Afroyla","michelle@afroyla.com","Buying an Afroyla bag as a gift? READ THIS.","RS7zKY","35610"
"2025-12-13","SALE | 121225 | SECRET SANTA WEEK Day 7 - Email 4","final hours (I'm serious)","Michelle @ Afroyla","michelle@afroyla.com","Tomorrow's email? Back to regular programming (and regular prices).","UQh5Bg","32501"
"2025-12-12","SALE | 121225 | SECRET SANTA WEEK Day 7 - Email 3","DING DING DINGGG! Last call 😭","Michelle @ Afroyla","michelle@afroyla.com","Real-time update: The last few 30% spots are disappearing FAST","R3xxSH","39003"
"2025-12-12","SALE | 121225 | SECRET SANTA WEEK Day 7 - Email 2","Quick heads up… discounts can drop ANY minute 😅","Michelle @ Afroyla","michelle@afroyla.com","Up to 40% OFF + 2 FREE gifts… for EVERYONE","YrM8xg","36560"
"2025-12-12","SALE | 121225 | SECRET SANTA WEEK Day 7 - Email 1","Final Secret Santa Gift is LIVE (public link inside)","Michelle @ Afroyla","michelle@afroyla.com","Up to 40% OFF + 2 FREE gifts… for EVERYONE","RTCDK4","37080"
"2025-12-11","SALE | 111225 | SECRET SANTA WEEK Day 6 - Email 2","Today’s Santa Deal… is OUT. OF. CONTROL.","Michelle @ Afroyla","michelle@afroyla.com","","Tf2A6g","35376"
"2025-12-11","SALE | 111225 | SECRET SANTA WEEK Day 6 - Email 1","Today... We still have Buy 1 Get 4…","Michelle @ Afroyla","michelle@afroyla.com","Santa is cooking something WILD today","VpCLgR","36342"
"2025-12-10","SALE | 101225 | SECRET SANTA WEEK Day 5 - Email 2","How to get 4 Afroyla goodies for under $80","Michelle @ Afroyla","michelle@afroyla.com","This might be the easiest Christmas hack of the week","VWmpBn","37046"
"2025-12-10","SALE | 101225 | SECRET SANTA WEEK Day 5 - Email 1","SSW - Gift #5: Buy 1, Get 4 (!?)","Michelle @ Afroyla","michelle@afroyla.com","If you love crossbody bags, open this now","W5WVmZ","35994"
"2025-12-09","SALE | 091225 | SECRET SANTA WEEK Day 4 - Email 2","Your tote deal just got smaller… unless you act now","Michelle @ Afroyla","michelle@afroyla.com","","Riepn2","33850"
"2025-12-09","SALE | 091225 | SECRET SANTA WEEK Day 4 - Email 1","If I could only keep ONE bag… here's my choice","Michelle @ Afroyla","michelle@afroyla.com","","XkVmEn","43189"
"2025-12-08","SALE | 081225 | SECRET SANTA WEEK Day 3 - Email 2","Ummm… Gift #3 is running FASTER than the others...here's why","Michelle @ Afroyla","michelle@afroyla.com","","Rnyfgy","36830"
"2025-12-08","SALE | 081225 | SECRET SANTA WEEK Day 3 - Email 1","WOOHOOO… The “Facebook Famous” Handbag Is Today’s Star","Michelle @ Afroyla","michelle@afroyla.com","Buy The Bag… Get TWO Surprise Gifts Free","RPK46n","39174"
"2025-12-07","SALE | 071225 | SECRET SANTA WEEK Day 2 - Email 2","“I’ve spent over $600 with you”","Michelle @ Afroyla","michelle@afroyla.com","30 fast shoppers just cleaned out the best bonus","T7xHhC","36777"
"2025-12-07","SALE | 071225 | SECRET SANTA WEEK Day 2 - Email 1","The bag everyone loves… now as a FREE GIFT?!","Michelle @ Afroyla","michelle@afroyla.com","SECOND Secret Santa gift is loading… 👀","W9QcxA","39812"
"2025-12-06","SALE | 061225 | SECRET SANTA WEEK Day 1 - Email 2","[REAL TIME UPDATE] YOU CAN REVEAL OUR FREE GIFTS NOW!","Michelle @ Afroyla","michelle@afroyla.com","Secret Santa Week starts TODAY!!!","YwkEyb","38264"
"2025-12-06","SALE | 061225 | SECRET SANTA WEEK Day 1","Your FREE Bags or Wallets awaits!","Michelle @ Afroyla","michelle@afroyla.com","Secret Santa Week starts TODAY!!!","VUwJ8J","38712"
"2025-12-05","STORY | 051225 | SECRET SANTA WEEK TEASER 3","If You Love Free Gifts… Read This Before Tomorrow","Michelle @ Afroyla","michelle@afroyla.com","Private Santa List Only","VBiLuc","41231"
"2025-12-04","STORY | 041225 | SECRET SANTA WEEK TEASER 2","PRIVATE EMAIL: For women who like “over the top” gifts","Michelle @ Afroyla","michelle@afroyla.com","Read this if you love surprise gifts more than receipts 😏","S3NR7t","34777"
"2025-12-03","STORY | 031225 | SECRET SANTA WEEK","Secret Santa Week is coming… and I need you","Michelle @ Afroyla","michelle@afroyla.com","","XKUSkS","39055"
"2025-12-02","SALE | 021225 | CYBER MONDAY AMAZON","One more Afroyla SALE... only on our official Amazon store","Michelle @ Afroyla","michelle@afroyla.com","","TAfGBC","39055"
"2025-12-02","SALE | 011225 | CYBER MONDAY EMAIL 4","[LAST CALL] I'M ABOUT TO CLOSE THE SALE","Michelle @ Afroyla","michelle@afroyla.com","","VFXT35","32412"
"2025-12-02","SALE | 011225 | CYBER MONDAY EMAIL 3","We are in the DANGER ZONE now","Michelle @ Afroyla","michelle@afroyla.com","","U3fLag","33313"
"2025-12-02","SALE | 011225 | CYBER MONDAY EMAIL 2","Ummm… your discount is slipping away 😅","Michelle @ Afroyla","michelle@afroyla.com","","S8L8jM","31592"
"2025-12-01","SALE | 011225 | CYBER MONDAY EMAIL 1","[ANNOUNCEMENT] OUR CYBER MONDAY IS ON","Michelle @ Afroyla","michelle@afroyla.com","","WgZw3R","38288"
"2025-11-30","SALE | 301125 | BFCM GAME 8","Tonight’s game tests how BOLD you are 👀","Michelle @ Afroyla","michelle@afroyla.com","Bold women only past this line","XmjeSw","34171"
"2025-11-30","SALE | 301125 | BFCM GAME 7","Black Friday Madness - DAY 4: FREE ORDER mode unlocked","Michelle @ Afroyla","michelle@afroyla.com","","Vba76e","38297"
"2025-11-29","SALE | 291125 | BFCM GAME 6","I WAS WRONG... (and you guys are TOO good at this 😅)","Michelle @ Afroyla","michelle@afroyla.com","The $0.95 bag is gone… but Game 6 is coming","Twg229","33554"
"2025-11-29","SALE | 291125 | BFCM GAME 5","Some Afroyla bags are “almost free” today…","Michelle @ Afroyla","michelle@afroyla.com","Today’s Theme: HIDDEN GEMS 💎","U2n5zX","39349"
"2025-11-28","SALE | 281125 | BFCM GAME 4","BREAKING: the Afroyla backpack is coming...","Michelle @ Afroyla","michelle@afroyla.com","Most-requested product of 2025 + stacking deals = this email.","YtbGyQ","39240"
"2025-11-28","SALE | 281125 | BFCM GAME 3 - BUY GIFT","HAPPY BLACK FRIDAY… ready to play?","Michelle @ Afroyla","michelle@afroyla.com","Want in before 2,000+ people grab today’s deals?","TMrDqQ","38591"
"2025-11-28","SALE | 271125 | BFCM GAME 3 - BUY HERSELF","HAPPY BLACK FRIDAY… ready to play?","Michelle @ Afroyla","michelle@afroyla.com","Want in before 2,000+ people grab today’s deals?","VxHwPR","37964"
"2025-11-27","SALE | 271125 | BFCM GAME 2 - BUY GIFT","Game #2 is RUDE. And it’s coming...","Michelle @ Afroyla","michelle@afroyla.com","This bag is a bestseller. The price is a JOKE.","TA3uBi","45754"
"2025-11-27","SALE | 271125 | BFCM GAME 2 - BUY HERSELF","Game #2 is RUDE. And it’s coming...","Michelle @ Afroyla","michelle@afroyla.com","This bag is a bestseller. The price is a JOKE.","RtMzV9","45515"
"2025-11-27","SALE | 271125 | BFCM GAME 1 - BUY HERSELF","BLACK FRIDAY MADNESS starts in 1 hourrrr","Michelle @ Afroyla","michelle@afroyla.com","Pre-registered Queens only… (for now)","WGrfYt","37227"
"2025-11-27","SALE | 271125 | BFCM GAME 1 - BUY GIFT","BLACK FRIDAY MADNESS starts in 1 hourrrr","Michelle @ Afroyla","michelle@afroyla.com","Pre-registered only… (for now)","WABZtj","37263"
"2025-11-26","STORY | 261125 | BFCM TEASER 1 DAY LEFT - BUY HERSELF","Tomorrow: The MEGA-SUPER-FUN Game for Afroyla bags begins…","Michelle @ Afroyla","michelle@afroyla.com","","X2kEDp","42730"
"2025-11-26","STORY | 261125 | BFCM TEASER 1 DAY LEFT - BUY GIFT","Tomorrow: The MEGA-SUPER-FUN Game for Afroyla bags begins…","Michelle @ Afroyla","michelle@afroyla.com","","YmRw7L","44296"
"2025-11-25","STORY | 251125 | BFCM 2 Days","These deals are ONLY for pre-registered Queens","Michelle @ Afroyla","michelle@afroyla.com","This Black Friday is NOT for “regular” shoppers 👀","TnfKJ4","36322"
"2025-11-24","Clone STORY | 231125 | BFCM PRIVATE ONLY","3 days till madness. Are you on the list?","Michelle @ Afroyla","michelle@afroyla.com","","UsQt56","38656"
"2025-11-23","STORY | 231125 | BFCM HUNGER GAMES","Your Afroyla order: shipped… and REFUNDED?!","Michelle @ Afroyla","michelle@afroyla.com","","WQ2fdx","61766"
"2025-11-22","STORY | 221125 | BFCM 1st Deal Reveal","The 1st Black Friday Deal… and it’s a BIG one","Michelle @ Afroyla","michelle@afroyla.com","","SRpvrQ","39938"
"2025-11-21","STORY | 211125 | BFCM EARLY BIRDS","What if your Black Friday bag… cost $0?","Michelle @ Afroyla","michelle@afroyla.com","","Vki2vR","40198"
"2025-11-20","STORY | 201125 | BFCM IDEAS 2","BLACK FRIDAY MADNESS: you’re on the planning committee","Michelle @ Afroyla","michelle@afroyla.com","","WsGXwM","40896"
"2025-11-19","STORY | 191125 | BFCM IDEAS","I NEED YOUR HELF... to plan the MOST INSANE Black Friday ever","Michelle @ Afroyla","michelle@afroyla.com","","Xs5Ukw","36481"
"2025-11-18","STORY | 181125 | They Refunded Me","I got refunded… then BLOCKED","Michelle @ Afroyla","michelle@afroyla.com","","VxcSMt","34611"
"2025-11-17","STORY | 171125 | No More Scam","The Copycats messed with the wrong Queens","Michelle @ Afroyla","michelle@afroyla.com","","XDzqJh","34032"
"2025-11-16","STORY | 151125 | They Asked too much","I volunteered to be scammed...here's why...","Michelle @ Afroyla","michelle@afroyla.com","","Vs8Qax","37036"
"2025-11-15","STORY | 151125 | Locessa collection","Tell me the truth — do you secretly want locs? 👀","Michelle @ Afroyla","michelle@afroyla.com","Because my entire family is PRESSURING ME 😭","R3j5zZ","35388"
"2025-11-15","STORY | 151125 | LOCESSA COLLECTION - Buy Gift","When she says “I’m getting locs”… here’s what she REALLY means.","Michelle @ Afroyla","michelle@afroyla.com","","Sm3r4R","35143"
"2025-11-14","STORY | 141125 | Richest Woman","I am the RICHEST man in the world...","Michelle @ Afroyla","michelle@afroyla.com","","SuExna","37378"
"2025-11-13","STORY | 131125 | Faithful Designs","A Queen lifted me with one quote","Michelle @ Afroyla","michelle@afroyla.com","I didn’t know I needed this… until she said it","RMKkh8","35705"
"2025-11-13","STORY | 131125 | Faithful Designs - Buy Gift","A Queen lifted me with one quote","Michelle @ Afroyla","michelle@afroyla.com","I didn’t know I needed this… until she said it","VDdnh4","36039"
"2025-11-12","STORY | 121125 | Scammers Melaniva","⚠️ The FAKE Afroyla Scam You Need to Know About","Michelle @ Afroyla","michelle@afroyla.com","read this before you buy anything!","R6Wawy","35398"
"2025-11-11","STORY | 111125 | Bald Head Designs","hey… this one’s for the bald beauties","Michelle @ Afroyla","michelle@afroyla.com","","X5nrZJ","35757"
"2025-11-10","STORY | 101125 | Small Gift - resend","We hit an INSANE milestone.","Michelle @ Afroyla","michelle@afroyla.com","THANK. YOU","TLwMfP","34028"
"2025-11-10","STORY | 101125 | Small Gift","We hit an INSANE milestone.","Michelle @ Afroyla","michelle@afroyla.com","THANK. YOU","UF4RmR","34028"
"2025-11-10","SALE | 091125 | Best Before BF Day 3 - Email 4","[Last Munites] STOP EVERYTHING: 3 Spots Just Reopened","Michelle @ Afroyla","michelle@afroyla.com","","RDsW3a","34264"
